108, Issaku Tartumaa, 58.2772114, 27.0226493
109, Jaara vald Parnumaa, 58.2787, 24.4222
110, Jaarja vald Pärnumaa, 58.3640, 24.6631
111, Jamburgi, 59.3683, 28.6078
112, Jaroslav Venemaa, 57.316, 39.733
113, Jarva-Jaani Kihelkond, 58.8872, 25.7212
114, Jarvakandi vald Harjumaa, 58.9115, 24.6184
115, Jarvamadise kihelkond, 59.1021, 23.6317
116, Joala vald Virumaa, 59.365, 26.675
117, Joelahtme vald Harjumaa, 59.506, 25.127
118, Jogeva vald Tartumaa, 58.7521, 26.3782
119, Johvi, 59.3594, 27.4212
120, Juuru vald Harjumaa, 59.0971, 24.7494
121, Järvamaa, 58.8859, 25.5603
122, Järve vald Virumaa, 59.139, 26.253
123, Järve Virumaa, 59.424, 27.022
124, Jõgeva Tartumaa, 58.74357, 26.39309
125, Jõgeva, 58.7463, 26.3941
126, Jõgevaste vald Valgamaa, 57.879, 26.193
127, Jõgeveste vald Valgamaa, 58.089, 26.252
128, Jõhvi kihelkond, 59.36117, 27.41339
129, Jõhvi vald Virumaa, 59.360, 27.429
130, Jõroiste kihelkond Soome, 60.8739, 26.1236
131, Kaagjarve vald Valgamaa, 57.7317, 26.3193
132, Kaarepere vald Tartumaa, 58.5367, 26.7157
133, Kaarepere, 58.727, 25.342
134, Kaarli vald Viljandimaa, 58.4983, 25.9277
135, Kaarli vald Pärnumaa, 58.3452, 24.8059
136, Kaarma Saaremaa, 58.3349, 22.6716
137, Kaarma-Suure vald Saaremaa, 58.297, 22.504
138, Kaarma-Suurvald Saaremaa, 58.3915, 22.686
139, Kabala vald Harjumaa, 59.223, 24.859
140, Kabala vald Viljandimaa, 58.501, 25.416
141, Kabala Harjumaa, 59.220, 24.869
142, Kabala Viljandimaa, 58.59516, 25.59884
143, Kadrina Laane-Virumaa, 59.3308, 26.1345
144, Kadrina Virumaa, 59.321, 26.134
145, Kadrina, 59.3471, 26.1317
146, Kahkva vald Võrumaa, 57.65325, 26.92317
147, Kahkva Võrumaa, 57.800, 26.960
148, Kaisma vald Pärnumaa, 58.01912, 24.36162
149, Kaiu vald Harjumaa, 59.057, 24.790
150, Kalami talu Viljandimaa, 58.253, 25.273
151, Kalvi vald Virumaa, 59.2381, 27.5585
152, Kambja Tartumaa, 58.2913, 26.6459
